Epoch,Train Error,Test Error
1174,0.025,0.036
1175,0.031,0.032
1176,0.029,0.034
1177,0.025,0.029
1178,0.029,0.037
1179,0.026,0.049
1180,0.026,0.046
1181,0.033,0.036
1182,0.025,0.042
1183,0.03,0.035
1184,0.031,0.04
1185,0.033,0.042
1186,0.026,0.038
1187,0.027,0.037
1188,0.032,0.038
1189,0.025,0.036
1190,0.031,0.042
1191,0.03,0.046
1192,0.023,0.036
1193,0.031,0.042
1194,0.021,0.046
1195,0.026,0.036
1196,0.029,0.041
1197,0.027,0.041
1198,0.024,0.039
1199,0.028,0.037
1200,0.026,0.038
1201,0.027,0.045
1202,0.025,0.031
1203,0.028,0.032
1204,0.025,0.039
1205,0.028,0.036
1206,0.036,0.042
1207,0.024,0.039
1208,0.027,0.043
1209,0.019,0.038
1210,0.026,0.042
1211,0.028,0.045
1212,0.033,0.033
1213,0.03,0.048
1214,0.035,0.041
1215,0.028,0.041
1216,0.031,0.042
1217,0.027,0.044
1218,0.032,0.037
1219,0.023,0.034
1220,0.028,0.041
1221,0.024,0.043
1222,0.032,0.035
1223,0.027,0.04
1224,0.027,0.039
1225,0.03,0.034
1226,0.027,0.036
1227,0.029,0.043
1228,0.027,0.037
1229,0.024,0.043
1230,0.033,0.042
1231,0.024,0.032
1232,0.03,0.044
1233,0.034,0.037
1234,0.025,0.034
1235,0.028,0.037
1236,0.029,0.042
1237,0.022,0.041
1238,0.026,0.033
1239,0.03,0.048
1240,0.03,0.045
1241,0.023,0.038
1242,0.027,0.045
1243,0.031,0.043
1244,0.029,0.038
1245,0.028,0.036
1246,0.031,0.041
1247,0.028,0.042
1248,0.028,0.034
1249,0.021,0.036
1250,0.031,0.035
1251,0.028,0.04
1252,0.027,0.046
1253,0.027,0.037
1254,0.033,0.04
1255,0.029,0.042
1256,0.026,0.04
1257,0.031,0.033
1258,0.028,0.046
1259,0.023,0.043
1260,0.034,0.044
1261,0.023,0.028
1262,0.027,0.046
1263,0.028,0.039
1264,0.023,0.039
1265,0.025,0.033
1266,0.026,0.036
1267,0.033,0.043
1268,0.019,0.035
1269,0.023,0.042
1270,0.024,0.042
1271,0.022,0.034
1272,0.025,0.031
1273,0.022,0.034
1274,0.028,0.042
1275,0.03,0.046
1276,0.029,0.041
1277,0.031,0.045
1278,0.03,0.037
1279,0.026,0.03
1280,0.027,0.048
1281,0.029,0.045
1282,0.026,0.038
1283,0.028,0.039
1284,0.028,0.045
1285,0.024,0.039
1286,0.026,0.037
1287,0.025,0.037
1288,0.032,0.043
1289,0.03,0.039
1290,0.026,0.034
1291,0.021,0.036
1292,0.032,0.038
1293,0.03,0.037
1294,0.023,0.036
1295,0.027,0.033
1296,0.025,0.044
1297,0.029,0.044
1298,0.026,0.034
1299,0.026,0.042
1300,0.025,0.037
1301,0.031,0.04
1302,0.031,0.044
1303,0.022,0.034
1304,0.027,0.032
1305,0.026,0.045
1306,0.03,0.033
1307,0.025,0.037
1308,0.03,0.042
1309,0.026,0.038
1310,0.025,0.039
1311,0.027,0.041
1312,0.024,0.04
1313,0.029,0.044
1314,0.037,0.043
1315,0.032,0.041
1316,0.026,0.035
1317,0.032,0.041
1318,0.033,0.04
1319,0.03,0.042
1320,0.032,0.032
1321,0.026,0.04
1322,0.036,0.047
1323,0.03,0.043
1324,0.035,0.038
1325,0.025,0.041
1326,0.025,0.035
1327,0.029,0.043
1328,0.026,0.037
1329,0.034,0.036
1330,0.022,0.04
1331,0.03,0.048
1332,0.036,0.05
1333,0.031,0.046
1334,0.024,0.039
